index,centre,time_extract,consume,cost,num_occupation,num_students,num_staff,today_consume,today_occupation,today_person,yesteday_consume,yesterday_occupation,yesterday_person
31,AP ARQ. LOPEZ OTERO,2018-01-02 8:00,8,618.58,2,1,1,241,80,4.0,7,1,3.661706075678479
32,AP ARQ. LOPEZ OTERO,2018-01-02 9:00,3,618.58,1,1,0,244,81,3.0,2,0,2.661706075678479
33,AP ARQ. LOPEZ OTERO,2018-01-02 10:00,3,618.58,1,1,0,247,82,3.0,2,0,2.661706075678479
34,AP ARQ. LOPEZ OTERO,2018-01-02 11:00,3,618.58,2,1,1,250,84,1.5,2,1,1.1617060756784792
35,AP ARQ. LOPEZ OTERO,2018-01-02 12:00,3,618.58,1,1,0,253,85,3.0,2,0,2.661706075678479
36,AP ARQ. LOPEZ OTERO,2018-01-02 13:00,3,618.58,1,0,1,256,86,3.0,2,0,2.661706075678479
37,AP ARQ. LOPEZ OTERO,2018-01-02 14:00,3,618.58,3,3,0,259,89,1.0,2,2,0.6617060756784792
38,AP ARQ. LOPEZ OTERO,2018-01-02 15:00,3,618.58,2,1,1,262,91,1.5,2,1,1.1617060756784792
39,AP ARQ. LOPEZ OTERO,2018-01-02 16:00,3,618.58,3,2,1,265,94,1.0,2,2,0.6617060756784792
40,AP ARQ. LOPEZ OTERO,2018-01-02 17:00,2,618.58,0,0,0,267,94,"",1,-1,""
41,AP ARQ. LOPEZ OTERO,2018-01-02 18:00,7,618.58,2,1,1,274,96,3.5,6,1,3.161706075678479
42,AP ARQ. LOPEZ OTERO,2018-01-02 19:00,8,618.58,6,5,1,282,102,1.3333333333333333,7,5,0.9950394090118124
43,AP ARQ. LOPEZ OTERO,2018-01-02 20:00,8,618.58,4,0,4,290,106,2.0,7,3,1.6617060756784792
44,AP ARQ. LOPEZ OTERO,2018-01-02 21:00,8,618.58,3,2,1,298,109,2.6666666666666665,7,2,2.3283727423451457
45,AP ARQ. LOPEZ OTERO,2018-01-02 22:00,8,618.58,2,2,0,306,111,4.0,7,1,3.661706075678479
46,AP ARQ. LOPEZ OTERO,2018-01-02 23:00,8,618.58,2,2,0,314,113,4.0,7,1,3.661706075678479
47,AP ARQ. LOPEZ OTERO,2018-01-03 0:00,3,618.58,5,3,2,317,118,0.6,2,4,0.26170607567847914
48,AP ARQ. LOPEZ OTERO,2018-01-03 1:00,9,618.58,3,3,0,326,121,3.0,8,2,2.661706075678479
49,AP ARQ. LOPEZ OTERO,2018-01-03 2:00,9,618.58,2,1,1,335,123,4.5,8,1,4.161706075678479
50,AP ARQ. LOPEZ OTERO,2018-01-03 3:00,9,618.58,1,1,0,344,124,9.0,8,0,8.66170607567848
51,AP ARQ. LOPEZ OTERO,2018-01-03 4:00,9,618.58,3,1,2,353,127,3.0,8,2,2.661706075678479
52,AP ARQ. LOPEZ OTERO,2018-01-03 5:00,9,618.58,1,0,1,362,128,9.0,8,0,8.66170607567848
53,AP ARQ. LOPEZ OTERO,2018-01-03 6:00,8,618.58,1,1,0,370,129,8.0,7,0,7.661706075678479
54,AP ARQ. LOPEZ OTERO,2018-01-03 7:00,8,618.58,3,3,0,378,132,2.6666666666666665,7,2,2.3283727423451457
55,AP ARQ. LOPEZ OTERO,2018-01-03 8:00,8,618.58,2,1,1,386,134,4.0,7,1,3.661706075678479
56,AP ARQ. LOPEZ OTERO,2018-01-03 9:00,2,618.58,2,2,0,388,136,1.0,1,1,0.6617060756784792
57,AP ARQ. LOPEZ OTERO,2018-01-03 10:00,3,618.58,0,0,0,391,136,"",2,-1,""
58,AP ARQ. LOPEZ OTERO,2018-01-03 11:00,2,618.58,1,1,0,393,137,2.0,1,0,1.6617060756784792
59,AP ARQ. LOPEZ OTERO,2018-01-03 12:00,3,618.58,3,2,1,396,140,1.0,2,2,0.6617060756784792
60,AP ARQ. LOPEZ OTERO,2018-01-03 13:00,3,618.58,3,0,3,399,143,1.0,2,2,0.6617060756784792
61,AP ARQ. LOPEZ OTERO,2018-01-03 14:00,3,618.58,1,1,0,402,144,3.0,2,0,2.661706075678479
62,AP ARQ. LOPEZ OTERO,2018-01-03 15:00,3,618.58,3,3,0,405,147,1.0,2,2,0.6617060756784792
63,AP ARQ. LOPEZ OTERO,2018-01-03 16:00,3,618.58,2,0,2,408,149,1.5,2,1,1.1617060756784792
64,AP ARQ. LOPEZ OTERO,2018-01-03 17:00,3,618.58,2,2,0,411,151,1.5,2,1,1.1617060756784792
65,AP ARQ. LOPEZ OTERO,2018-01-03 18:00,9,618.58,1,0,1,420,152,9.0,8,0,8.66170607567848
66,AP ARQ. LOPEZ OTERO,2018-01-03 19:00,9,618.58,3,3,0,429,155,3.0,8,2,2.661706075678479
67,AP ARQ. LOPEZ OTERO,2018-01-03 20:00,9,618.58,5,2,3,438,160,1.8,8,4,1.4617060756784792
68,AP ARQ. LOPEZ OTERO,2018-01-03 21:00,9,618.58,2,2,0,447,162,4.5,8,1,4.161706075678479
69,AP ARQ. LOPEZ OTERO,2018-01-03 22:00,8,618.58,2,1,1,455,164,4.0,7,1,3.661706075678479
70,AP ARQ. LOPEZ OTERO,2018-01-03 23:00,9,618.58,1,1,0,464,165,9.0,8,0,8.66170607567848
71,AP ARQ. LOPEZ OTERO,2018-01-04 0:00,3,618.58,0,0,0,467,165,"",2,-1,""
72,AP ARQ. LOPEZ OTERO,2018-01-04 1:00,8,618.58,5,4,1,475,170,1.6,7,4,1.2617060756784793
73,AP ARQ. LOPEZ OTERO,2018-01-04 2:00,8,618.58,4,1,3,483,174,2.0,7,3,1.6617060756784792
74,AP ARQ. LOPEZ OTERO,2018-01-04 3:00,9,618.58,1,1,0,492,175,9.0,8,0,8.66170607567848
75,AP ARQ. LOPEZ OTERO,2018-01-04 4:00,8,618.58,3,3,0,500,178,2.6666666666666665,7,2,2.3283727423451457
76,AP ARQ. LOPEZ OTERO,2018-01-04 5:00,9,618.58,2,2,0,509,180,4.5,8,1,4.161706075678479
77,AP ARQ. LOPEZ OTERO,2018-01-04 6:00,9,618.58,2,1,1,518,182,4.5,8,1,4.161706075678479
78,AP ARQ. LOPEZ OTERO,2018-01-04 7:00,8,618.58,3,2,1,526,185,2.6666666666666665,7,2,2.3283727423451457
79,AP ARQ. LOPEZ OTERO,2018-01-04 8:00,8,618.58,0,0,0,534,185,"",7,-1,""
80,AP ARQ. LOPEZ OTERO,2018-01-04 9:00,2,618.58,0,0,0,536,185,"",1,-1,""
81,AP ARQ. LOPEZ OTERO,2018-01-04 10:00,2,618.58,1,1,0,538,186,2.0,1,0,1.6617060756784792
82,AP ARQ. LOPEZ OTERO,2018-01-04 11:00,2,618.58,1,1,0,540,187,2.0,1,0,1.6617060756784792
83,AP ARQ. LOPEZ OTERO,2018-01-04 12:00,2,618.58,2,2,0,542,189,1.0,1,1,0.6617060756784792
84,AP ARQ. LOPEZ OTERO,2018-01-04 13:00,2,618.58,3,3,0,544,192,0.6666666666666666,1,2,0.3283727423451458
85,AP ARQ. LOPEZ OTERO,2018-01-04 14:00,4,618.58,3,1,2,548,195,1.3333333333333333,3,2,0.9950394090118124
86,AP ARQ. LOPEZ OTERO,2018-01-04 15:00,4,618.58,2,0,2,552,197,2.0,3,1,1.6617060756784792
87,AP ARQ. LOPEZ OTERO,2018-01-04 16:00,4,618.58,1,0,1,556,198,4.0,3,0,3.661706075678479
88,AP ARQ. LOPEZ OTERO,2018-01-04 17:00,3,618.58,3,1,2,559,201,1.0,2,2,0.6617060756784792
89,AP ARQ. LOPEZ OTERO,2018-01-04 18:00,8,618.58,0,0,0,567,201,"",7,-1,""
90,AP ARQ. LOPEZ OTERO,2018-01-04 19:00,8,618.58,4,4,0,575,205,2.0,7,3,1.6617060756784792
91,AP ARQ. LOPEZ OTERO,2018-01-04 20:00,9,618.58,0,0,0,584,205,"",8,-1,""
92,AP ARQ. LOPEZ OTERO,2018-01-04 21:00,9,618.58,3,0,3,593,208,3.0,8,2,2.661706075678479
93,AP ARQ. LOPEZ OTERO,2018-01-04 22:00,9,618.58,3,3,0,602,211,3.0,8,2,2.661706075678479
94,AP ARQ. LOPEZ OTERO,2018-01-04 23:00,9,618.58,4,2,2,611,215,2.25,8,3,1.9117060756784792
95,AP ARQ. LOPEZ OTERO,2018-01-05 0:00,4,618.58,0,0,0,615,215,"",3,-1,""
96,AP ARQ. LOPEZ OTERO,2018-01-05 1:00,8,618.58,3,0,3,623,218,2.6666666666666665,7,2,2.3283727423451457
97,AP ARQ. LOPEZ OTERO,2018-01-05 2:00,8,618.58,3,1,2,631,221,2.6666666666666665,7,2,2.3283727423451457
98,AP ARQ. LOPEZ OTERO,2018-01-05 3:00,8,618.58,4,3,1,639,225,2.0,7,3,1.6617060756784792
99,AP ARQ. LOPEZ OTERO,2018-01-05 4:00,8,618.58,3,1,2,647,228,2.6666666666666665,7,2,2.3283727423451457
100,AP ARQ. LOPEZ OTERO,2018-01-05 5:00,8,618.58,2,1,1,655,230,4.0,7,1,3.661706075678479
101,AP ARQ. LOPEZ OTERO,2018-01-05 6:00,8,618.58,3,1,2,663,233,2.6666666666666665,7,2,2.3283727423451457
102,AP ARQ. LOPEZ OTERO,2018-01-05 7:00,9,618.58,1,1,0,672,234,9.0,8,0,8.66170607567848
103,AP ARQ. LOPEZ OTERO,2018-01-05 8:00,8,618.58,4,4,0,680,238,2.0,7,3,1.6617060756784792
104,AP ARQ. LOPEZ OTERO,2018-01-05 9:00,3,618.58,0,0,0,683,238,"",2,-1,""
105,AP ARQ. LOPEZ OTERO,2018-01-05 10:00,4,618.58,4,1,3,687,242,1.0,3,3,0.6617060756784792
106,AP ARQ. LOPEZ OTERO,2018-01-05 11:00,3,618.58,4,4,0,690,246,0.75,2,3,0.41170607567847917
107,AP ARQ. LOPEZ OTERO,2018-01-05 12:00,3,618.58,3,2,1,693,249,1.0,2,2,0.6617060756784792
108,AP ARQ. LOPEZ OTERO,2018-01-05 13:00,3,618.58,3,1,2,696,252,1.0,2,2,0.6617060756784792
109,AP ARQ. LOPEZ OTERO,2018-01-05 14:00,4,618.58,1,1,0,700,253,4.0,3,0,3.661706075678479
110,AP ARQ. LOPEZ OTERO,2018-01-05 15:00,4,618.58,2,0,2,704,255,2.0,3,1,1.6617060756784792
111,AP ARQ. LOPEZ OTERO,2018-01-05 16:00,4,618.58,1,1,0,708,256,4.0,3,0,3.661706075678479
112,AP ARQ. LOPEZ OTERO,2018-01-05 17:00,4,618.58,3,1,2,712,259,1.3333333333333333,3,2,0.9950394090118124
113,AP ARQ. LOPEZ OTERO,2018-01-05 18:00,8,618.58,1,1,0,720,260,8.0,7,0,7.661706075678479
114,AP ARQ. LOPEZ OTERO,2018-01-05 19:00,9,618.58,1,1,0,729,261,9.0,8,0,8.66170607567848
115,AP ARQ. LOPEZ OTERO,2018-01-05 20:00,9,618.58,2,1,1,738,263,4.5,8,1,4.161706075678479
116,AP ARQ. LOPEZ OTERO,2018-01-05 21:00,9,618.58,1,0,1,747,264,9.0,8,0,8.66170607567848
117,AP ARQ. LOPEZ OTERO,2018-01-05 22:00,9,618.58,5,1,4,756,269,1.8,8,4,1.4617060756784792
118,AP ARQ. LOPEZ OTERO,2018-01-05 23:00,8,618.58,2,1,1,764,271,4.0,7,1,3.661706075678479
119,AP ARQ. LOPEZ OTERO,2018-01-06 0:00,4,618.58,0,0,0,768,271,"",3,-1,""
120,AP ARQ. LOPEZ OTERO,2018-01-06 1:00,9,618.58,4,4,0,777,275,2.25,8,3,1.9117060756784792
121,AP ARQ. LOPEZ OTERO,2018-01-06 2:00,9,618.58,0,0,0,786,275,"",8,-1,""
122,AP ARQ. LOPEZ OTERO,2018-01-06 3:00,9,618.58,1,1,0,795,276,9.0,8,0,8.66170607567848
123,AP ARQ. LOPEZ OTERO,2018-01-06 4:00,9,618.58,3,3,0,804,279,3.0,8,2,2.661706075678479
124,AP ARQ. LOPEZ OTERO,2018-01-06 5:00,9,618.58,3,2,1,813,282,3.0,8,2,2.661706075678479
125,AP ARQ. LOPEZ OTERO,2018-01-06 6:00,9,618.58,3,3,0,822,285,3.0,8,2,2.661706075678479
126,AP ARQ. LOPEZ OTERO,2018-01-06 7:00,8,618.58,2,1,1,830,287,4.0,7,1,3.661706075678479
127,AP ARQ. LOPEZ OTERO,2018-01-06 8:00,8,618.58,2,1,1,838,289,4.0,7,1,3.661706075678479
128,AP ARQ. LOPEZ OTERO,2018-01-06 9:00,8,618.58,3,1,2,846,292,2.6666666666666665,7,2,2.3283727423451457
129,AP ARQ. LOPEZ OTERO,2018-01-06 10:00,8,618.58,7,5,2,854,299,1.1428571428571428,7,6,0.804563218535622
130,AP ARQ. LOPEZ OTERO,2018-01-06 11:00,9,618.58,1,1,0,863,300,9.0,8,0,8.66170607567848
131,AP ARQ. LOPEZ OTERO,2018-01-06 12:00,8,618.58,2,2,0,871,302,4.0,7,1,3.661706075678479
132,AP ARQ. LOPEZ OTERO,2018-01-06 13:00,8,618.58,6,0,6,879,308,1.3333333333333333,7,5,0.9950394090118124
133,AP ARQ. LOPEZ OTERO,2018-01-06 14:00,8,618.58,3,1,2,887,311,2.6666666666666665,7,2,2.3283727423451457
134,AP ARQ. LOPEZ OTERO,2018-01-06 15:00,9,618.58,2,0,2,896,313,4.5,8,1,4.161706075678479
135,AP ARQ. LOPEZ OTERO,2018-01-06 16:00,8,618.58,1,1,0,904,314,8.0,7,0,7.661706075678479
136,AP ARQ. LOPEZ OTERO,2018-01-06 17:00,8,618.58,2,2,0,912,316,4.0,7,1,3.661706075678479
137,AP ARQ. LOPEZ OTERO,2018-01-06 18:00,8,618.58,1,1,0,920,317,8.0,7,0,7.661706075678479
138,AP ARQ. LOPEZ OTERO,2018-01-06 19:00,4,618.58,3,1,2,924,320,1.3333333333333333,3,2,0.9950394090118124
139,AP ARQ. LOPEZ OTERO,2018-01-06 20:00,4,618.58,1,1,0,928,321,4.0,3,0,3.661706075678479
140,AP ARQ. LOPEZ OTERO,2018-01-06 21:00,4,618.58,3,0,3,932,324,1.3333333333333333,3,2,0.9950394090118124
141,AP ARQ. LOPEZ OTERO,2018-01-06 22:00,4,618.58,6,4,2,936,330,0.6666666666666666,3,5,0.3283727423451458
142,AP ARQ. LOPEZ OTERO,2018-01-06 23:00,3,618.58,5,4,1,939,335,0.6,2,4,0.26170607567847914
143,AP ARQ. LOPEZ OTERO,2018-01-07 0:00,4,618.58,6,6,0,943,341,0.6666666666666666,3,5,0.3283727423451458
144,AP ARQ. LOPEZ OTERO,2018-01-07 1:00,9,618.58,1,1,0,952,342,9.0,8,0,8.66170607567848
145,AP ARQ. LOPEZ OTERO,2018-01-07 2:00,9,618.58,2,1,1,961,344,4.5,8,1,4.161706075678479
146,AP ARQ. LOPEZ OTERO,2018-01-07 3:00,9,618.58,2,1,1,970,346,4.5,8,1,4.161706075678479
147,AP ARQ. LOPEZ OTERO,2018-01-07 4:00,9,618.58,4,1,3,979,350,2.25,8,3,1.9117060756784792
148,AP ARQ. LOPEZ OTERO,2018-01-07 5:00,9,618.58,3,1,2,988,353,3.0,8,2,2.661706075678479
149,AP ARQ. LOPEZ OTERO,2018-01-07 6:00,9,618.58,2,0,2,997,355,4.5,8,1,4.161706075678479
150,AP ARQ. LOPEZ OTERO,2018-01-07 7:00,8,618.58,4,4,0,1005,359,2.0,7,3,1.6617060756784792
151,AP ARQ. LOPEZ OTERO,2018-01-07 8:00,8,618.58,1,1,0,1013,360,8.0,7,0,7.661706075678479
152,AP ARQ. LOPEZ OTERO,2018-01-07 9:00,8,618.58,1,0,1,1021,361,8.0,7,0,7.661706075678479
153,AP ARQ. LOPEZ OTERO,2018-01-07 10:00,8,618.58,2,0,2,1029,363,4.0,7,1,3.661706075678479
154,AP ARQ. LOPEZ OTERO,2018-01-07 11:00,9,618.58,6,5,1,1038,369,1.5,8,5,1.1617060756784792
155,AP ARQ. LOPEZ OTERO,2018-01-07 12:00,8,618.58,2,1,1,1046,371,4.0,7,1,3.661706075678479
156,AP ARQ. LOPEZ OTERO,2018-01-07 13:00,8,618.58,6,3,3,1054,377,1.3333333333333333,7,5,0.9950394090118124
157,AP ARQ. LOPEZ OTERO,2018-01-07 14:00,8,618.58,1,1,0,1062,378,8.0,7,0,7.661706075678479
158,AP ARQ. LOPEZ OTERO,2018-01-07 15:00,9,618.58,4,1,3,1071,382,2.25,8,3,1.9117060756784792
159,AP ARQ. LOPEZ OTERO,2018-01-07 16:00,8,618.58,2,2,0,1079,384,4.0,7,1,3.661706075678479
160,AP ARQ. LOPEZ OTERO,2018-01-07 17:00,8,618.58,6,1,5,1087,390,1.3333333333333333,7,5,0.9950394090118124
161,AP ARQ. LOPEZ OTERO,2018-01-07 18:00,8,618.58,2,1,1,1095,392,4.0,7,1,3.661706075678479
162,AP ARQ. LOPEZ OTERO,2018-01-07 19:00,4,618.58,3,1,2,1099,395,1.3333333333333333,3,2,0.9950394090118124
163,AP ARQ. LOPEZ OTERO,2018-01-07 20:00,4,618.58,2,2,0,1103,397,2.0,3,1,1.6617060756784792
164,AP ARQ. LOPEZ OTERO,2018-01-07 21:00,4,618.58,7,0,7,1107,404,0.5714285714285714,3,6,0.23313464710705056
165,AP ARQ. LOPEZ OTERO,2018-01-07 22:00,4,618.58,0,0,0,1111,404,"",3,-1,""
166,AP ARQ. LOPEZ OTERO,2018-01-07 23:00,3,618.58,1,0,1,1114,405,3.0,2,0,2.661706075678479
167,AP ARQ. LOPEZ OTERO,2018-01-08 0:00,4,618.58,0,0,0,1118,405,"",3,-1,""
168,AP ARQ. LOPEZ OTERO,2018-01-08 1:00,7,618.58,2,1,1,1125,407,3.5,6,1,3.161706075678479
169,AP ARQ. LOPEZ OTERO,2018-01-08 2:00,8,618.58,3,3,0,1133,410,2.6666666666666665,7,2,2.3283727423451457
170,AP ARQ. LOPEZ OTERO,2018-01-08 3:00,8,618.58,4,4,0,1141,414,2.0,7,3,1.6617060756784792
171,AP ARQ. LOPEZ OTERO,2018-01-08 4:00,9,618.58,2,1,1,1150,416,4.5,8,1,4.161706075678479
172,AP ARQ. LOPEZ OTERO,2018-01-08 5:00,8,618.58,5,5,0,1158,421,1.6,7,4,1.2617060756784793
173,AP ARQ. LOPEZ OTERO,2018-01-08 6:00,8,618.58,2,2,0,1166,423,4.0,7,1,3.661706075678479
174,AP ARQ. LOPEZ OTERO,2018-01-08 7:00,8,618.58,2,1,1,1174,425,4.0,7,1,3.661706075678479
175,AP ARQ. LOPEZ OTERO,2018-01-08 8:00,8,618.58,3,2,1,1182,428,2.6666666666666665,7,2,2.3283727423451457
176,AP ARQ. LOPEZ OTERO,2018-01-08 9:00,3,618.58,1,1,0,1185,429,3.0,2,0,2.661706075678479
177,AP ARQ. LOPEZ OTERO,2018-01-08 10:00,3,618.58,2,0,2,1188,431,1.5,2,1,1.1617060756784792
178,AP ARQ. LOPEZ OTERO,2018-01-08 11:00,3,618.58,2,2,0,1191,433,1.5,2,1,1.1617060756784792
179,AP ARQ. LOPEZ OTERO,2018-01-08 12:00,3,618.58,1,1,0,1194,434,3.0,2,0,2.661706075678479
180,AP ARQ. LOPEZ OTERO,2018-01-08 13:00,3,618.58,1,1,0,1197,435,3.0,2,0,2.661706075678479
181,AP ARQ. LOPEZ OTERO,2018-01-08 14:00,4,618.58,3,1,2,1201,438,1.3333333333333333,3,2,0.9950394090118124
182,AP ARQ. LOPEZ OTERO,2018-01-08 15:00,3,618.58,0,0,0,1204,438,"",2,-1,""
183,AP ARQ. LOPEZ OTERO,2018-01-08 16:00,3,618.58,0,0,0,1207,438,"",2,-1,""
184,AP ARQ. LOPEZ OTERO,2018-01-08 17:00,3,618.58,7,4,3,1210,445,0.42857142857142855,2,6,0.09027750424990771
185,AP ARQ. LOPEZ OTERO,2018-01-08 18:00,8,618.58,2,1,1,1218,447,4.0,7,1,3.661706075678479
186,AP ARQ. LOPEZ OTERO,2018-01-08 19:00,8,618.58,3,2,1,1226,450,2.6666666666666665,7,2,2.3283727423451457
187,AP ARQ. LOPEZ OTERO,2018-01-08 20:00,8,618.58,5,3,2,1234,455,1.6,7,4,1.2617060756784793
188,AP ARQ. LOPEZ OTERO,2018-01-08 21:00,9,618.58,5,2,3,1243,460,1.8,8,4,1.4617060756784792
189,AP ARQ. LOPEZ OTERO,2018-01-08 22:00,9,618.58,2,2,0,1252,462,4.5,8,1,4.161706075678479
190,AP ARQ. LOPEZ OTERO,2018-01-08 23:00,8,618.58,3,2,1,1260,465,2.6666666666666665,7,2,2.3283727423451457
191,AP ARQ. LOPEZ OTERO,2018-01-09 0:00,3,618.58,0,0,0,1263,465,"",2,-1,""
192,AP ARQ. LOPEZ OTERO,2018-01-09 1:00,9,618.58,1,1,0,1272,466,9.0,8,0,8.66170607567848
193,AP ARQ. LOPEZ OTERO,2018-01-09 2:00,9,618.58,3,3,0,1281,469,3.0,8,2,2.661706075678479
194,AP ARQ. LOPEZ OTERO,2018-01-09 3:00,8,618.58,2,0,2,1289,471,4.0,7,1,3.661706075678479
195,AP ARQ. LOPEZ OTERO,2018-01-09 4:00,8,618.58,3,1,2,1297,474,2.6666666666666665,7,2,2.3283727423451457
196,AP ARQ. LOPEZ OTERO,2018-01-09 5:00,9,618.58,1,1,0,1306,475,9.0,8,0,8.66170607567848
197,AP ARQ. LOPEZ OTERO,2018-01-09 6:00,9,618.58,1,1,0,1315,476,9.0,8,0,8.66170607567848
198,AP ARQ. LOPEZ OTERO,2018-01-09 7:00,8,618.58,1,0,1,1323,477,8.0,7,0,7.661706075678479
199,AP ARQ. LOPEZ OTERO,2018-01-09 8:00,8,618.58,2,0,2,1331,479,4.0,7,1,3.661706075678479
200,AP ARQ. LOPEZ OTERO,2018-01-09 9:00,4,618.58,0,0,0,1335,479,"",3,-1,""
201,AP ARQ. LOPEZ OTERO,2018-01-09 10:00,4,618.58,5,4,1,1339,484,0.8,3,4,0.4617060756784792
202,AP ARQ. LOPEZ OTERO,2018-01-09 11:00,4,618.58,2,0,2,1343,486,2.0,3,1,1.6617060756784792
203,AP ARQ. LOPEZ OTERO,2018-01-09 12:00,4,618.58,0,0,0,1347,486,"",3,-1,""
204,AP ARQ. LOPEZ OTERO,2018-01-09 13:00,4,618.58,1,1,0,1351,487,4.0,3,0,3.661706075678479
205,AP ARQ. LOPEZ OTERO,2018-01-09 14:00,4,618.58,1,1,0,1355,488,4.0,3,0,3.661706075678479
206,AP ARQ. LOPEZ OTERO,2018-01-09 15:00,4,618.58,4,4,0,1359,492,1.0,3,3,0.6617060756784792
207,AP ARQ. LOPEZ OTERO,2018-01-09 16:00,4,618.58,5,4,1,1363,497,0.8,3,4,0.4617060756784792
208,AP ARQ. LOPEZ OTERO,2018-01-09 17:00,3,618.58,3,1,2,1366,500,1.0,2,2,0.6617060756784792
209,AP ARQ. LOPEZ OTERO,2018-01-09 18:00,8,618.58,5,5,0,1374,505,1.6,7,4,1.2617060756784793
210,AP ARQ. LOPEZ OTERO,2018-01-09 19:00,9,618.58,5,2,3,1383,510,1.8,8,4,1.4617060756784792
211,AP ARQ. LOPEZ OTERO,2018-01-09 20:00,9,618.58,3,2,1,1392,513,3.0,8,2,2.661706075678479
212,AP ARQ. LOPEZ OTERO,2018-01-09 21:00,9,618.58,4,3,1,1401,517,2.25,8,3,1.9117060756784792
213,AP ARQ. LOPEZ OTERO,2018-01-09 22:00,9,618.58,3,3,0,1410,520,3.0,8,2,2.661706075678479
214,AP ARQ. LOPEZ OTERO,2018-01-09 23:00,9,618.58,3,3,0,1419,523,3.0,8,2,2.661706075678479
215,AP ARQ. LOPEZ OTERO,2018-01-10 0:00,4,618.58,3,3,0,1423,526,1.3333333333333333,3,2,0.9950394090118124
216,AP ARQ. LOPEZ OTERO,2018-01-10 1:00,9,618.58,1,1,0,1432,527,9.0,8,0,8.66170607567848
