-1,centre,time_extract,num_occupation,num_students,num_staff
78,FAC. INFORMATICA,2018-01-04 7:00,3,2,1
79,FAC. INFORMATICA,2018-01-04 8:00,0,0,0
80,FAC. INFORMATICA,2018-01-04 9:00,0,0,0
81,FAC. INFORMATICA,2018-01-04 10:00,1,1,0
82,FAC. INFORMATICA,2018-01-04 11:00,1,1,0
83,FAC. INFORMATICA,2018-01-04 12:00,2,2,0
84,FAC. INFORMATICA,2018-01-04 13:00,3,3,0
85,FAC. INFORMATICA,2018-01-04 14:00,3,1,2
86,FAC. INFORMATICA,2018-01-04 15:00,2,0,2
87,FAC. INFORMATICA,2018-01-04 16:00,1,0,1
88,FAC. INFORMATICA,2018-01-04 17:00,3,1,2
89,FAC. INFORMATICA,2018-01-04 18:00,0,0,0
90,FAC. INFORMATICA,2018-01-04 19:00,4,4,0
91,FAC. INFORMATICA,2018-01-04 20:00,0,0,0
92,FAC. INFORMATICA,2018-01-04 21:00,3,0,3
93,FAC. INFORMATICA,2018-01-04 22:00,3,3,0
94,FAC. INFORMATICA,2018-01-04 23:00,4,2,2
95,FAC. INFORMATICA,2018-01-05 0:00,0,0,0
96,FAC. INFORMATICA,2018-01-05 1:00,3,0,3
97,FAC. INFORMATICA,2018-01-05 2:00,3,1,2
98,FAC. INFORMATICA,2018-01-05 3:00,4,3,1
99,FAC. INFORMATICA,2018-01-05 4:00,3,1,2
100,FAC. INFORMATICA,2018-01-05 5:00,2,1,1
101,FAC. INFORMATICA,2018-01-05 6:00,3,1,2
102,FAC. INFORMATICA,2018-01-05 7:00,1,1,0
103,FAC. INFORMATICA,2018-01-05 8:00,4,4,0
104,FAC. INFORMATICA,2018-01-05 9:00,0,0,0
105,FAC. INFORMATICA,2018-01-05 10:00,4,1,3
106,FAC. INFORMATICA,2018-01-05 11:00,4,4,0
107,FAC. INFORMATICA,2018-01-05 12:00,3,2,1
108,FAC. INFORMATICA,2018-01-05 13:00,3,1,2
109,FAC. INFORMATICA,2018-01-05 14:00,1,1,0
110,FAC. INFORMATICA,2018-01-05 15:00,2,0,2
111,FAC. INFORMATICA,2018-01-05 16:00,1,1,0
112,FAC. INFORMATICA,2018-01-05 17:00,3,1,2
113,FAC. INFORMATICA,2018-01-05 18:00,1,1,0
114,FAC. INFORMATICA,2018-01-05 19:00,1,1,0
115,FAC. INFORMATICA,2018-01-05 20:00,2,1,1
116,FAC. INFORMATICA,2018-01-05 21:00,1,0,1
117,FAC. INFORMATICA,2018-01-05 22:00,5,1,4
118,FAC. INFORMATICA,2018-01-05 23:00,2,1,1
119,FAC. INFORMATICA,2018-01-06 0:00,0,0,0
120,FAC. INFORMATICA,2018-01-06 1:00,4,4,0
121,FAC. INFORMATICA,2018-01-06 2:00,0,0,0
122,FAC. INFORMATICA,2018-01-06 3:00,1,1,0
123,FAC. INFORMATICA,2018-01-06 4:00,3,3,0
124,FAC. INFORMATICA,2018-01-06 5:00,3,2,1
125,FAC. INFORMATICA,2018-01-06 6:00,3,3,0
126,FAC. INFORMATICA,2018-01-06 7:00,2,1,1
127,FAC. INFORMATICA,2018-01-06 8:00,2,1,1
128,FAC. INFORMATICA,2018-01-06 9:00,3,1,2
129,FAC. INFORMATICA,2018-01-06 10:00,7,5,2
130,FAC. INFORMATICA,2018-01-06 11:00,1,1,0
131,FAC. INFORMATICA,2018-01-06 12:00,2,2,0
132,FAC. INFORMATICA,2018-01-06 13:00,6,0,6
133,FAC. INFORMATICA,2018-01-06 14:00,3,1,2
134,FAC. INFORMATICA,2018-01-06 15:00,2,0,2
135,FAC. INFORMATICA,2018-01-06 16:00,1,1,0
136,FAC. INFORMATICA,2018-01-06 17:00,2,2,0
137,FAC. INFORMATICA,2018-01-06 18:00,1,1,0
138,FAC. INFORMATICA,2018-01-06 19:00,3,1,2
139,FAC. INFORMATICA,2018-01-06 20:00,1,1,0
140,FAC. INFORMATICA,2018-01-06 21:00,3,0,3
141,FAC. INFORMATICA,2018-01-06 22:00,6,4,2
142,FAC. INFORMATICA,2018-01-06 23:00,5,4,1
143,FAC. INFORMATICA,2018-01-07 0:00,6,6,0
144,FAC. INFORMATICA,2018-01-07 1:00,1,1,0
145,FAC. INFORMATICA,2018-01-07 2:00,2,1,1
146,FAC. INFORMATICA,2018-01-07 3:00,2,1,1
147,FAC. INFORMATICA,2018-01-07 4:00,4,1,3
148,FAC. INFORMATICA,2018-01-07 5:00,3,1,2
149,FAC. INFORMATICA,2018-01-07 6:00,2,0,2
150,FAC. INFORMATICA,2018-01-07 7:00,4,4,0
151,FAC. INFORMATICA,2018-01-07 8:00,1,1,0
152,FAC. INFORMATICA,2018-01-07 9:00,1,0,1
153,FAC. INFORMATICA,2018-01-07 10:00,2,0,2
154,FAC. INFORMATICA,2018-01-07 11:00,6,5,1
155,FAC. INFORMATICA,2018-01-07 12:00,2,1,1
156,FAC. INFORMATICA,2018-01-07 13:00,6,3,3
157,FAC. INFORMATICA,2018-01-07 14:00,1,1,0
158,FAC. INFORMATICA,2018-01-07 15:00,4,1,3
159,FAC. INFORMATICA,2018-01-07 16:00,2,2,0
160,FAC. INFORMATICA,2018-01-07 17:00,6,1,5
161,FAC. INFORMATICA,2018-01-07 18:00,2,1,1
162,FAC. INFORMATICA,2018-01-07 19:00,3,1,2
163,FAC. INFORMATICA,2018-01-07 20:00,2,2,0
164,FAC. INFORMATICA,2018-01-07 21:00,7,0,7
165,FAC. INFORMATICA,2018-01-07 22:00,0,0,0
166,FAC. INFORMATICA,2018-01-07 23:00,1,0,1
167,FAC. INFORMATICA,2018-01-08 0:00,0,0,0
168,FAC. INFORMATICA,2018-01-08 1:00,2,1,1
169,FAC. INFORMATICA,2018-01-08 2:00,3,3,0
170,FAC. INFORMATICA,2018-01-08 3:00,4,4,0
171,FAC. INFORMATICA,2018-01-08 4:00,2,1,1
172,FAC. INFORMATICA,2018-01-08 5:00,5,5,0
173,FAC. INFORMATICA,2018-01-08 6:00,2,2,0
174,FAC. INFORMATICA,2018-01-08 7:00,2,1,1
175,FAC. INFORMATICA,2018-01-08 8:00,3,2,1
176,FAC. INFORMATICA,2018-01-08 9:00,1,1,0
177,FAC. INFORMATICA,2018-01-08 10:00,2,0,2
178,FAC. INFORMATICA,2018-01-08 11:00,2,2,0
179,FAC. INFORMATICA,2018-01-08 12:00,1,1,0
180,FAC. INFORMATICA,2018-01-08 13:00,1,1,0
181,FAC. INFORMATICA,2018-01-08 14:00,3,1,2
182,FAC. INFORMATICA,2018-01-08 15:00,0,0,0
183,FAC. INFORMATICA,2018-01-08 16:00,0,0,0
184,FAC. INFORMATICA,2018-01-08 17:00,7,4,3
185,FAC. INFORMATICA,2018-01-08 18:00,2,1,1
186,FAC. INFORMATICA,2018-01-08 19:00,3,2,1
187,FAC. INFORMATICA,2018-01-08 20:00,5,3,2
188,FAC. INFORMATICA,2018-01-08 21:00,5,2,3
189,FAC. INFORMATICA,2018-01-08 22:00,2,2,0
190,FAC. INFORMATICA,2018-01-08 23:00,3,2,1
191,FAC. INFORMATICA,2018-01-09 0:00,0,0,0
192,FAC. INFORMATICA,2018-01-09 1:00,1,1,0
193,FAC. INFORMATICA,2018-01-09 2:00,3,3,0
194,FAC. INFORMATICA,2018-01-09 3:00,2,0,2
195,FAC. INFORMATICA,2018-01-09 4:00,3,1,2
196,FAC. INFORMATICA,2018-01-09 5:00,1,1,0
197,FAC. INFORMATICA,2018-01-09 6:00,1,1,0
198,FAC. INFORMATICA,2018-01-09 7:00,1,0,1
199,FAC. INFORMATICA,2018-01-09 8:00,2,0,2
200,FAC. INFORMATICA,2018-01-09 9:00,0,0,0
201,FAC. INFORMATICA,2018-01-09 10:00,5,4,1
202,FAC. INFORMATICA,2018-01-09 11:00,2,0,2
203,FAC. INFORMATICA,2018-01-09 12:00,0,0,0
204,FAC. INFORMATICA,2018-01-09 13:00,1,1,0
205,FAC. INFORMATICA,2018-01-09 14:00,1,1,0
206,FAC. INFORMATICA,2018-01-09 15:00,4,4,0
207,FAC. INFORMATICA,2018-01-09 16:00,5,4,1
208,FAC. INFORMATICA,2018-01-09 17:00,3,1,2
209,FAC. INFORMATICA,2018-01-09 18:00,5,5,0
210,FAC. INFORMATICA,2018-01-09 19:00,5,2,3
211,FAC. INFORMATICA,2018-01-09 20:00,3,2,1
212,FAC. INFORMATICA,2018-01-09 21:00,4,3,1
213,FAC. INFORMATICA,2018-01-09 22:00,3,3,0
214,FAC. INFORMATICA,2018-01-09 23:00,3,3,0
215,FAC. INFORMATICA,2018-01-10 0:00,3,3,0
216,FAC. INFORMATICA,2018-01-10 1:00,1,1,0
217,FAC. INFORMATICA,2018-01-10 2:00,5,1,4
218,FAC. INFORMATICA,2018-01-10 3:00,0,0,0
219,FAC. INFORMATICA,2018-01-10 4:00,3,1,2
220,FAC. INFORMATICA,2018-01-10 5:00,1,1,0
221,FAC. INFORMATICA,2018-01-10 6:00,1,1,0
222,FAC. INFORMATICA,2018-01-10 7:00,1,1,0
223,FAC. INFORMATICA,2018-01-10 8:00,1,0,1
224,FAC. INFORMATICA,2018-01-10 9:00,3,2,1
225,FAC. INFORMATICA,2018-01-10 10:00,0,0,0
226,FAC. INFORMATICA,2018-01-10 11:00,2,1,1
227,FAC. INFORMATICA,2018-01-10 12:00,0,0,0
228,FAC. INFORMATICA,2018-01-10 13:00,3,2,1
229,FAC. INFORMATICA,2018-01-10 14:00,5,5,0
230,FAC. INFORMATICA,2018-01-10 15:00,0,0,0
231,FAC. INFORMATICA,2018-01-10 16:00,2,1,1
232,FAC. INFORMATICA,2018-01-10 17:00,5,5,0
233,FAC. INFORMATICA,2018-01-10 18:00,2,0,2
234,FAC. INFORMATICA,2018-01-10 19:00,5,4,1
235,FAC. INFORMATICA,2018-01-10 20:00,4,1,3
236,FAC. INFORMATICA,2018-01-10 21:00,1,1,0
237,FAC. INFORMATICA,2018-01-10 22:00,2,1,1
238,FAC. INFORMATICA,2018-01-10 23:00,5,1,4
239,FAC. INFORMATICA,2018-01-11 0:00,0,0,0
240,FAC. INFORMATICA,2018-01-11 1:00,1,1,0
241,FAC. INFORMATICA,2018-01-11 2:00,1,0,1
242,FAC. INFORMATICA,2018-01-11 3:00,2,0,2
243,FAC. INFORMATICA,2018-01-11 4:00,2,0,2
244,FAC. INFORMATICA,2018-01-11 5:00,1,1,0
245,FAC. INFORMATICA,2018-01-11 6:00,2,1,1
246,FAC. INFORMATICA,2018-01-11 7:00,1,1,0
247,FAC. INFORMATICA,2018-01-11 8:00,5,1,4
248,FAC. INFORMATICA,2018-01-11 9:00,0,0,0
249,FAC. INFORMATICA,2018-01-11 10:00,3,0,3
250,FAC. INFORMATICA,2018-01-11 11:00,2,2,0
251,FAC. INFORMATICA,2018-01-11 12:00,1,1,0
252,FAC. INFORMATICA,2018-01-11 13:00,2,1,1
253,FAC. INFORMATICA,2018-01-11 14:00,1,1,0
254,FAC. INFORMATICA,2018-01-11 15:00,1,1,0
255,FAC. INFORMATICA,2018-01-11 16:00,1,1,0
256,FAC. INFORMATICA,2018-01-11 17:00,1,1,0
257,FAC. INFORMATICA,2018-01-11 18:00,2,2,0
258,FAC. INFORMATICA,2018-01-11 19:00,2,2,0
259,FAC. INFORMATICA,2018-01-11 20:00,5,5,0
260,FAC. INFORMATICA,2018-01-11 21:00,5,3,2
261,FAC. INFORMATICA,2018-01-11 22:00,4,2,2
262,FAC. INFORMATICA,2018-01-11 23:00,2,2,0
263,FAC. INFORMATICA,2018-01-12 0:00,0,0,0
264,FAC. INFORMATICA,2018-01-12 1:00,0,0,0
265,FAC. INFORMATICA,2018-01-12 2:00,3,3,0
266,FAC. INFORMATICA,2018-01-12 3:00,4,3,1
267,FAC. INFORMATICA,2018-01-12 4:00,3,0,3
268,FAC. INFORMATICA,2018-01-12 5:00,4,1,3
269,FAC. INFORMATICA,2018-01-12 6:00,2,0,2
270,FAC. INFORMATICA,2018-01-12 7:00,4,1,3
271,FAC. INFORMATICA,2018-01-12 8:00,3,3,0
272,FAC. INFORMATICA,2018-01-12 9:00,3,3,0
273,FAC. INFORMATICA,2018-01-12 10:00,6,6,0
274,FAC. INFORMATICA,2018-01-12 11:00,2,2,0
275,FAC. INFORMATICA,2018-01-12 12:00,2,1,1
276,FAC. INFORMATICA,2018-01-12 13:00,4,3,1
277,FAC. INFORMATICA,2018-01-12 14:00,0,0,0
278,FAC. INFORMATICA,2018-01-12 15:00,1,1,0
279,FAC. INFORMATICA,2018-01-12 16:00,2,1,1
280,FAC. INFORMATICA,2018-01-12 17:00,2,2,0
281,FAC. INFORMATICA,2018-01-12 18:00,1,1,0
282,FAC. INFORMATICA,2018-01-12 19:00,1,0,1
283,FAC. INFORMATICA,2018-01-12 20:00,2,2,0
284,FAC. INFORMATICA,2018-01-12 21:00,2,2,0
285,FAC. INFORMATICA,2018-01-12 22:00,0,0,0
286,FAC. INFORMATICA,2018-01-12 23:00,6,1,5
287,FAC. INFORMATICA,2018-01-13 0:00,2,1,1
288,FAC. INFORMATICA,2018-01-13 1:00,4,2,2
289,FAC. INFORMATICA,2018-01-13 2:00,4,1,3
290,FAC. INFORMATICA,2018-01-13 3:00,4,3,1
291,FAC. INFORMATICA,2018-01-13 4:00,5,5,0
292,FAC. INFORMATICA,2018-01-13 5:00,1,1,0
293,FAC. INFORMATICA,2018-01-13 6:00,1,1,0
294,FAC. INFORMATICA,2018-01-13 7:00,7,6,1
295,FAC. INFORMATICA,2018-01-13 8:00,2,2,0
296,FAC. INFORMATICA,2018-01-13 9:00,2,2,0
297,FAC. INFORMATICA,2018-01-13 10:00,2,2,0
298,FAC. INFORMATICA,2018-01-13 11:00,2,2,0
299,FAC. INFORMATICA,2018-01-13 12:00,5,5,0
300,FAC. INFORMATICA,2018-01-13 13:00,4,3,1
301,FAC. INFORMATICA,2018-01-13 14:00,5,2,3
302,FAC. INFORMATICA,2018-01-13 15:00,2,2,0
303,FAC. INFORMATICA,2018-01-13 16:00,3,0,3
304,FAC. INFORMATICA,2018-01-13 17:00,7,6,1
305,FAC. INFORMATICA,2018-01-13 18:00,0,0,0
306,FAC. INFORMATICA,2018-01-13 19:00,5,2,3
307,FAC. INFORMATICA,2018-01-13 20:00,3,1,2
308,FAC. INFORMATICA,2018-01-13 21:00,0,0,0
309,FAC. INFORMATICA,2018-01-13 22:00,1,0,1
310,FAC. INFORMATICA,2018-01-13 23:00,2,0,2
311,FAC. INFORMATICA,2018-01-14 0:00,5,5,0
312,FAC. INFORMATICA,2018-01-14 1:00,3,2,1
313,FAC. INFORMATICA,2018-01-14 2:00,2,0,2
314,FAC. INFORMATICA,2018-01-14 3:00,2,2,0
315,FAC. INFORMATICA,2018-01-14 4:00,0,0,0
316,FAC. INFORMATICA,2018-01-14 5:00,3,3,0
317,FAC. INFORMATICA,2018-01-14 6:00,2,2,0
318,FAC. INFORMATICA,2018-01-14 7:00,2,1,1
319,FAC. INFORMATICA,2018-01-14 8:00,0,0,0
320,FAC. INFORMATICA,2018-01-14 9:00,1,1,0
321,FAC. INFORMATICA,2018-01-14 10:00,3,1,2
322,FAC. INFORMATICA,2018-01-14 11:00,1,0,1
323,FAC. INFORMATICA,2018-01-14 12:00,2,2,0
324,FAC. INFORMATICA,2018-01-14 13:00,1,0,1
325,FAC. INFORMATICA,2018-01-14 14:00,3,2,1
326,FAC. INFORMATICA,2018-01-14 15:00,4,2,2
327,FAC. INFORMATICA,2018-01-14 16:00,4,1,3
328,FAC. INFORMATICA,2018-01-14 17:00,0,0,0
329,FAC. INFORMATICA,2018-01-14 18:00,1,1,0
330,FAC. INFORMATICA,2018-01-14 19:00,4,4,0
331,FAC. INFORMATICA,2018-01-14 20:00,4,0,4
332,FAC. INFORMATICA,2018-01-14 21:00,1,1,0
333,FAC. INFORMATICA,2018-01-14 22:00,2,2,0
334,FAC. INFORMATICA,2018-01-14 23:00,1,1,0
335,FAC. INFORMATICA,2018-01-15 0:00,3,3,0
336,FAC. INFORMATICA,2018-01-15 1:00,2,2,0
337,FAC. INFORMATICA,2018-01-15 2:00,1,1,0
338,FAC. INFORMATICA,2018-01-15 3:00,1,1,0
339,FAC. INFORMATICA,2018-01-15 4:00,6,0,6
340,FAC. INFORMATICA,2018-01-15 5:00,3,2,1
341,FAC. INFORMATICA,2018-01-15 6:00,2,1,1
342,FAC. INFORMATICA,2018-01-15 7:00,3,3,0
343,FAC. INFORMATICA,2018-01-15 8:00,1,1,0
344,FAC. INFORMATICA,2018-01-15 9:00,3,1,2
345,FAC. INFORMATICA,2018-01-15 10:00,3,0,3
346,FAC. INFORMATICA,2018-01-15 11:00,1,1,0
347,FAC. INFORMATICA,2018-01-15 12:00,2,1,1
348,FAC. INFORMATICA,2018-01-15 13:00,4,2,2
349,FAC. INFORMATICA,2018-01-15 14:00,5,3,2
350,FAC. INFORMATICA,2018-01-15 15:00,2,1,1
351,FAC. INFORMATICA,2018-01-15 16:00,2,2,0
352,FAC. INFORMATICA,2018-01-15 17:00,5,2,3
353,FAC. INFORMATICA,2018-01-15 18:00,1,0,1
354,FAC. INFORMATICA,2018-01-15 19:00,1,1,0
355,FAC. INFORMATICA,2018-01-15 20:00,1,1,0
356,FAC. INFORMATICA,2018-01-15 21:00,3,1,2
357,FAC. INFORMATICA,2018-01-15 22:00,2,2,0
358,FAC. INFORMATICA,2018-01-15 23:00,0,0,0
359,FAC. INFORMATICA,2018-01-16 0:00,1,1,0
360,FAC. INFORMATICA,2018-01-16 1:00,1,1,0
361,FAC. INFORMATICA,2018-01-16 2:00,3,3,0
362,FAC. INFORMATICA,2018-01-16 3:00,2,1,1
363,FAC. INFORMATICA,2018-01-16 4:00,4,0,4
364,FAC. INFORMATICA,2018-01-16 5:00,0,0,0
365,FAC. INFORMATICA,2018-01-16 6:00,0,0,0
366,FAC. INFORMATICA,2018-01-16 7:00,2,2,0
367,FAC. INFORMATICA,2018-01-16 8:00,1,0,1
368,FAC. INFORMATICA,2018-01-16 9:00,2,2,0
369,FAC. INFORMATICA,2018-01-16 10:00,4,2,2
370,FAC. INFORMATICA,2018-01-16 11:00,2,2,0
371,FAC. INFORMATICA,2018-01-16 12:00,1,1,0
372,FAC. INFORMATICA,2018-01-16 13:00,5,5,0
373,FAC. INFORMATICA,2018-01-16 14:00,0,0,0
374,FAC. INFORMATICA,2018-01-16 15:00,3,2,1
375,FAC. INFORMATICA,2018-01-16 16:00,0,0,0
376,FAC. INFORMATICA,2018-01-16 17:00,0,0,0
377,FAC. INFORMATICA,2018-01-16 18:00,3,2,1
378,FAC. INFORMATICA,2018-01-16 19:00,1,1,0
379,FAC. INFORMATICA,2018-01-16 20:00,4,0,4
380,FAC. INFORMATICA,2018-01-16 21:00,1,1,0
381,FAC. INFORMATICA,2018-01-16 22:00,4,2,2
382,FAC. INFORMATICA,2018-01-16 23:00,1,0,1
383,FAC. INFORMATICA,2018-01-17 0:00,1,0,1
384,FAC. INFORMATICA,2018-01-17 1:00,3,2,1
385,FAC. INFORMATICA,2018-01-17 2:00,1,1,0
386,FAC. INFORMATICA,2018-01-17 3:00,0,0,0
387,FAC. INFORMATICA,2018-01-17 4:00,3,2,1
388,FAC. INFORMATICA,2018-01-17 5:00,7,5,2
389,FAC. INFORMATICA,2018-01-17 6:00,2,1,1
390,FAC. INFORMATICA,2018-01-17 7:00,1,1,0
391,FAC. INFORMATICA,2018-01-17 8:00,2,2,0
392,FAC. INFORMATICA,2018-01-17 9:00,1,0,1
393,FAC. INFORMATICA,2018-01-17 10:00,0,0,0
394,FAC. INFORMATICA,2018-01-17 11:00,2,2,0
395,FAC. INFORMATICA,2018-01-17 12:00,2,2,0
396,FAC. INFORMATICA,2018-01-17 13:00,5,3,2
397,FAC. INFORMATICA,2018-01-17 14:00,3,2,1
398,FAC. INFORMATICA,2018-01-17 15:00,1,0,1
399,FAC. INFORMATICA,2018-01-17 16:00,4,1,3
400,FAC. INFORMATICA,2018-01-17 17:00,0,0,0
401,FAC. INFORMATICA,2018-01-17 18:00,4,1,3
402,FAC. INFORMATICA,2018-01-17 19:00,2,1,1
403,FAC. INFORMATICA,2018-01-17 20:00,1,0,1
404,FAC. INFORMATICA,2018-01-17 21:00,4,2,2
405,FAC. INFORMATICA,2018-01-17 22:00,3,2,1
406,FAC. INFORMATICA,2018-01-17 23:00,2,1,1
407,FAC. INFORMATICA,2018-01-18 0:00,2,2,0
408,FAC. INFORMATICA,2018-01-18 1:00,4,3,1
409,FAC. INFORMATICA,2018-01-18 2:00,2,1,1
410,FAC. INFORMATICA,2018-01-18 3:00,2,1,1
411,FAC. INFORMATICA,2018-01-18 4:00,4,4,0
412,FAC. INFORMATICA,2018-01-18 5:00,5,4,1
413,FAC. INFORMATICA,2018-01-18 6:00,2,1,1
414,FAC. INFORMATICA,2018-01-18 7:00,5,2,3
415,FAC. INFORMATICA,2018-01-18 8:00,1,1,0
416,FAC. INFORMATICA,2018-01-18 9:00,1,1,0
417,FAC. INFORMATICA,2018-01-18 10:00,1,0,1
418,FAC. INFORMATICA,2018-01-18 11:00,0,0,0
419,FAC. INFORMATICA,2018-01-18 12:00,5,4,1
420,FAC. INFORMATICA,2018-01-18 13:00,1,0,1
421,FAC. INFORMATICA,2018-01-18 14:00,5,1,4
422,FAC. INFORMATICA,2018-01-18 15:00,1,1,0
423,FAC. INFORMATICA,2018-01-18 16:00,1,1,0
424,FAC. INFORMATICA,2018-01-18 17:00,3,3,0
425,FAC. INFORMATICA,2018-01-18 18:00,4,1,3
426,FAC. INFORMATICA,2018-01-18 19:00,0,0,0
427,FAC. INFORMATICA,2018-01-18 20:00,2,1,1
428,FAC. INFORMATICA,2018-01-18 21:00,4,1,3
429,FAC. INFORMATICA,2018-01-18 22:00,5,4,1
430,FAC. INFORMATICA,2018-01-18 23:00,0,0,0
431,FAC. INFORMATICA,2018-01-19 0:00,3,3,0
432,FAC. INFORMATICA,2018-01-19 1:00,1,0,1
433,FAC. INFORMATICA,2018-01-19 2:00,1,1,0
434,FAC. INFORMATICA,2018-01-19 3:00,2,1,1
435,FAC. INFORMATICA,2018-01-19 4:00,4,4,0
436,FAC. INFORMATICA,2018-01-19 5:00,3,2,1
437,FAC. INFORMATICA,2018-01-19 6:00,3,2,1
438,FAC. INFORMATICA,2018-01-19 7:00,1,1,0
439,FAC. INFORMATICA,2018-01-19 8:00,5,3,2
440,FAC. INFORMATICA,2018-01-19 9:00,1,1,0
441,FAC. INFORMATICA,2018-01-19 10:00,3,3,0
442,FAC. INFORMATICA,2018-01-19 11:00,3,2,1
443,FAC. INFORMATICA,2018-01-19 12:00,2,1,1
444,FAC. INFORMATICA,2018-01-19 13:00,1,1,0
445,FAC. INFORMATICA,2018-01-19 14:00,3,2,1
446,FAC. INFORMATICA,2018-01-19 15:00,0,0,0
447,FAC. INFORMATICA,2018-01-19 16:00,1,1,0
448,FAC. INFORMATICA,2018-01-19 17:00,1,0,1
