-1,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
31,FAC. INFORMATICA,78922,2018-01-02 08:00,8,0,0,8,8,3.1A,618.58
32,FAC. INFORMATICA,78922,2018-01-02 09:00,3,0,0,3,3,3.1A,618.58
33,FAC. INFORMATICA,78922,2018-01-02 10:00,3,0,0,3,3,3.1A,618.58
34,FAC. INFORMATICA,78922,2018-01-02 11:00,3,0,0,3,3,3.1A,618.58
35,FAC. INFORMATICA,78922,2018-01-02 12:00,3,0,0,3,3,3.1A,618.58
36,FAC. INFORMATICA,78922,2018-01-02 13:00,3,0,0,3,3,3.1A,618.58
37,FAC. INFORMATICA,78922,2018-01-02 14:00,3,0,0,3,3,3.1A,618.58
38,FAC. INFORMATICA,78922,2018-01-02 15:00,3,0,0,3,3,3.1A,618.58
39,FAC. INFORMATICA,78922,2018-01-02 16:00,3,0,0,3,3,3.1A,618.58
40,FAC. INFORMATICA,78922,2018-01-02 17:00,2,0,0,2,2,3.1A,618.58
41,FAC. INFORMATICA,78922,2018-01-02 18:00,7,0,0,7,7,3.1A,618.58
42,FAC. INFORMATICA,78922,2018-01-02 19:00,8,0,0,8,8,3.1A,618.58
43,FAC. INFORMATICA,78922,2018-01-02 20:00,8,0,0,8,8,3.1A,618.58
44,FAC. INFORMATICA,78922,2018-01-02 21:00,8,0,0,8,8,3.1A,618.58
45,FAC. INFORMATICA,78922,2018-01-02 22:00,8,0,0,8,8,3.1A,618.58
46,FAC. INFORMATICA,78922,2018-01-02 23:00,8,0,0,8,8,3.1A,618.58
47,FAC. INFORMATICA,78922,2018-01-03 00:00,3,0,0,3,3,3.1A,618.58
48,FAC. INFORMATICA,78922,2018-01-03 01:00,9,0,0,9,9,3.1A,618.58
49,FAC. INFORMATICA,78922,2018-01-03 02:00,9,0,0,9,9,3.1A,618.58
50,FAC. INFORMATICA,78922,2018-01-03 03:00,9,0,0,9,9,3.1A,618.58
51,FAC. INFORMATICA,78922,2018-01-03 04:00,9,0,0,9,9,3.1A,618.58
52,FAC. INFORMATICA,78922,2018-01-03 05:00,9,0,0,9,9,3.1A,618.58
53,FAC. INFORMATICA,78922,2018-01-03 06:00,8,0,0,8,8,3.1A,618.58
54,FAC. INFORMATICA,78922,2018-01-03 07:00,8,0,0,8,8,3.1A,618.58
55,FAC. INFORMATICA,78922,2018-01-03 08:00,8,0,0,8,8,3.1A,618.58
56,FAC. INFORMATICA,78922,2018-01-03 09:00,2,0,0,2,2,3.1A,618.58
57,FAC. INFORMATICA,78922,2018-01-03 10:00,3,0,0,3,3,3.1A,618.58
58,FAC. INFORMATICA,78922,2018-01-03 11:00,2,0,0,2,2,3.1A,618.58
59,FAC. INFORMATICA,78922,2018-01-03 12:00,3,0,0,3,3,3.1A,618.58
60,FAC. INFORMATICA,78922,2018-01-03 13:00,3,0,0,3,3,3.1A,618.58
61,FAC. INFORMATICA,78922,2018-01-03 14:00,3,0,0,3,3,3.1A,618.58
62,FAC. INFORMATICA,78922,2018-01-03 15:00,3,0,0,3,3,3.1A,618.58
63,FAC. INFORMATICA,78922,2018-01-03 16:00,3,0,0,3,3,3.1A,618.58
64,FAC. INFORMATICA,78922,2018-01-03 17:00,3,0,0,3,3,3.1A,618.58
65,FAC. INFORMATICA,78922,2018-01-03 18:00,9,0,0,9,9,3.1A,618.58
66,FAC. INFORMATICA,78922,2018-01-03 19:00,9,0,0,9,9,3.1A,618.58
67,FAC. INFORMATICA,78922,2018-01-03 20:00,9,0,0,9,9,3.1A,618.58
68,FAC. INFORMATICA,78922,2018-01-03 21:00,9,0,0,9,9,3.1A,618.58
69,FAC. INFORMATICA,78922,2018-01-03 22:00,8,0,0,8,8,3.1A,618.58
70,FAC. INFORMATICA,78922,2018-01-03 23:00,9,0,0,9,9,3.1A,618.58
71,FAC. INFORMATICA,78922,2018-01-04 00:00,3,0,0,3,3,3.1A,618.58
72,FAC. INFORMATICA,78922,2018-01-04 01:00,8,0,0,8,8,3.1A,618.58
73,FAC. INFORMATICA,78922,2018-01-04 02:00,8,0,0,8,8,3.1A,618.58
74,FAC. INFORMATICA,78922,2018-01-04 03:00,9,0,0,9,9,3.1A,618.58
75,FAC. INFORMATICA,78922,2018-01-04 04:00,8,0,0,8,8,3.1A,618.58
76,FAC. INFORMATICA,78922,2018-01-04 05:00,9,0,0,9,9,3.1A,618.58
77,FAC. INFORMATICA,78922,2018-01-04 06:00,9,0,0,9,9,3.1A,618.58
78,FAC. INFORMATICA,78922,2018-01-04 07:00,8,0,0,8,8,3.1A,618.58
79,FAC. INFORMATICA,78922,2018-01-04 08:00,8,0,0,8,8,3.1A,618.58
80,FAC. INFORMATICA,78922,2018-01-04 09:00,2,0,0,2,2,3.1A,618.58
81,FAC. INFORMATICA,78922,2018-01-04 10:00,2,0,0,2,2,3.1A,618.58
82,FAC. INFORMATICA,78922,2018-01-04 11:00,2,0,0,2,2,3.1A,618.58
83,FAC. INFORMATICA,78922,2018-01-04 12:00,2,0,0,2,2,3.1A,618.58
84,FAC. INFORMATICA,78922,2018-01-04 13:00,2,0,0,2,2,3.1A,618.58
85,FAC. INFORMATICA,78922,2018-01-04 14:00,4,0,0,4,4,3.1A,618.58
86,FAC. INFORMATICA,78922,2018-01-04 15:00,4,0,0,4,4,3.1A,618.58
87,FAC. INFORMATICA,78922,2018-01-04 16:00,4,0,0,4,4,3.1A,618.58
88,FAC. INFORMATICA,78922,2018-01-04 17:00,3,0,0,3,3,3.1A,618.58
89,FAC. INFORMATICA,78922,2018-01-04 18:00,8,0,0,8,8,3.1A,618.58
90,FAC. INFORMATICA,78922,2018-01-04 19:00,8,0,0,8,8,3.1A,618.58
91,FAC. INFORMATICA,78922,2018-01-04 20:00,9,0,0,9,9,3.1A,618.58
92,FAC. INFORMATICA,78922,2018-01-04 21:00,9,0,0,9,9,3.1A,618.58
93,FAC. INFORMATICA,78922,2018-01-04 22:00,9,0,0,9,9,3.1A,618.58
94,FAC. INFORMATICA,78922,2018-01-04 23:00,9,0,0,9,9,3.1A,618.58
95,FAC. INFORMATICA,78922,2018-01-05 00:00,4,0,0,4,4,3.1A,618.58
96,FAC. INFORMATICA,78922,2018-01-05 01:00,8,0,0,8,8,3.1A,618.58
97,FAC. INFORMATICA,78922,2018-01-05 02:00,8,0,0,8,8,3.1A,618.58
98,FAC. INFORMATICA,78922,2018-01-05 03:00,8,0,0,8,8,3.1A,618.58
99,FAC. INFORMATICA,78922,2018-01-05 04:00,8,0,0,8,8,3.1A,618.58
100,FAC. INFORMATICA,78922,2018-01-05 05:00,8,0,0,8,8,3.1A,618.58
101,FAC. INFORMATICA,78922,2018-01-05 06:00,8,0,0,8,8,3.1A,618.58
102,FAC. INFORMATICA,78922,2018-01-05 07:00,9,0,0,9,9,3.1A,618.58
103,FAC. INFORMATICA,78922,2018-01-05 08:00,8,0,0,8,8,3.1A,618.58
104,FAC. INFORMATICA,78922,2018-01-05 09:00,3,0,0,3,3,3.1A,618.58
105,FAC. INFORMATICA,78922,2018-01-05 10:00,4,0,0,4,4,3.1A,618.58
106,FAC. INFORMATICA,78922,2018-01-05 11:00,3,0,0,3,3,3.1A,618.58
107,FAC. INFORMATICA,78922,2018-01-05 12:00,3,0,0,3,3,3.1A,618.58
108,FAC. INFORMATICA,78922,2018-01-05 13:00,3,0,0,3,3,3.1A,618.58
109,FAC. INFORMATICA,78922,2018-01-05 14:00,4,0,0,4,4,3.1A,618.58
110,FAC. INFORMATICA,78922,2018-01-05 15:00,4,0,0,4,4,3.1A,618.58
111,FAC. INFORMATICA,78922,2018-01-05 16:00,4,0,0,4,4,3.1A,618.58
112,FAC. INFORMATICA,78922,2018-01-05 17:00,4,0,0,4,4,3.1A,618.58
113,FAC. INFORMATICA,78922,2018-01-05 18:00,8,0,0,8,8,3.1A,618.58
114,FAC. INFORMATICA,78922,2018-01-05 19:00,9,0,0,9,9,3.1A,618.58
115,FAC. INFORMATICA,78922,2018-01-05 20:00,9,0,0,9,9,3.1A,618.58
116,FAC. INFORMATICA,78922,2018-01-05 21:00,9,0,0,9,9,3.1A,618.58
117,FAC. INFORMATICA,78922,2018-01-05 22:00,9,0,0,9,9,3.1A,618.58
118,FAC. INFORMATICA,78922,2018-01-05 23:00,8,0,0,8,8,3.1A,618.58
119,FAC. INFORMATICA,78922,2018-01-06 00:00,4,0,0,4,4,3.1A,618.58
120,FAC. INFORMATICA,78922,2018-01-06 01:00,9,0,0,9,9,3.1A,618.58
121,FAC. INFORMATICA,78922,2018-01-06 02:00,9,0,0,9,9,3.1A,618.58
122,FAC. INFORMATICA,78922,2018-01-06 03:00,9,0,0,9,9,3.1A,618.58
123,FAC. INFORMATICA,78922,2018-01-06 04:00,9,0,0,9,9,3.1A,618.58
124,FAC. INFORMATICA,78922,2018-01-06 05:00,9,0,0,9,9,3.1A,618.58
125,FAC. INFORMATICA,78922,2018-01-06 06:00,9,0,0,9,9,3.1A,618.58
126,FAC. INFORMATICA,78922,2018-01-06 07:00,8,0,0,8,8,3.1A,618.58
127,FAC. INFORMATICA,78922,2018-01-06 08:00,8,0,0,8,8,3.1A,618.58
128,FAC. INFORMATICA,78922,2018-01-06 09:00,8,0,0,8,8,3.1A,618.58
129,FAC. INFORMATICA,78922,2018-01-06 10:00,8,0,0,8,8,3.1A,618.58
130,FAC. INFORMATICA,78922,2018-01-06 11:00,9,0,0,9,9,3.1A,618.58
131,FAC. INFORMATICA,78922,2018-01-06 12:00,8,0,0,8,8,3.1A,618.58
132,FAC. INFORMATICA,78922,2018-01-06 13:00,8,0,0,8,8,3.1A,618.58
133,FAC. INFORMATICA,78922,2018-01-06 14:00,8,0,0,8,8,3.1A,618.58
134,FAC. INFORMATICA,78922,2018-01-06 15:00,9,0,0,9,9,3.1A,618.58
135,FAC. INFORMATICA,78922,2018-01-06 16:00,8,0,0,8,8,3.1A,618.58
136,FAC. INFORMATICA,78922,2018-01-06 17:00,8,0,0,8,8,3.1A,618.58
137,FAC. INFORMATICA,78922,2018-01-06 18:00,8,0,0,8,8,3.1A,618.58
138,FAC. INFORMATICA,78922,2018-01-06 19:00,4,0,0,4,4,3.1A,618.58
139,FAC. INFORMATICA,78922,2018-01-06 20:00,4,0,0,4,4,3.1A,618.58
140,FAC. INFORMATICA,78922,2018-01-06 21:00,4,0,0,4,4,3.1A,618.58
141,FAC. INFORMATICA,78922,2018-01-06 22:00,4,0,0,4,4,3.1A,618.58
142,FAC. INFORMATICA,78922,2018-01-06 23:00,3,0,0,3,3,3.1A,618.58
143,FAC. INFORMATICA,78922,2018-01-07 00:00,4,0,0,4,4,3.1A,618.58
144,FAC. INFORMATICA,78922,2018-01-07 01:00,9,0,0,9,9,3.1A,618.58
145,FAC. INFORMATICA,78922,2018-01-07 02:00,9,0,0,9,9,3.1A,618.58
146,FAC. INFORMATICA,78922,2018-01-07 03:00,9,0,0,9,9,3.1A,618.58
147,FAC. INFORMATICA,78922,2018-01-07 04:00,9,0,0,9,9,3.1A,618.58
148,FAC. INFORMATICA,78922,2018-01-07 05:00,9,0,0,9,9,3.1A,618.58
149,FAC. INFORMATICA,78922,2018-01-07 06:00,9,0,0,9,9,3.1A,618.58
150,FAC. INFORMATICA,78922,2018-01-07 07:00,8,0,0,8,8,3.1A,618.58
151,FAC. INFORMATICA,78922,2018-01-07 08:00,8,0,0,8,8,3.1A,618.58
152,FAC. INFORMATICA,78922,2018-01-07 09:00,8,0,0,8,8,3.1A,618.58
153,FAC. INFORMATICA,78922,2018-01-07 10:00,8,0,0,8,8,3.1A,618.58
154,FAC. INFORMATICA,78922,2018-01-07 11:00,9,0,0,9,9,3.1A,618.58
155,FAC. INFORMATICA,78922,2018-01-07 12:00,8,0,0,8,8,3.1A,618.58
156,FAC. INFORMATICA,78922,2018-01-07 13:00,8,0,0,8,8,3.1A,618.58
157,FAC. INFORMATICA,78922,2018-01-07 14:00,8,0,0,8,8,3.1A,618.58
158,FAC. INFORMATICA,78922,2018-01-07 15:00,9,0,0,9,9,3.1A,618.58
159,FAC. INFORMATICA,78922,2018-01-07 16:00,8,0,0,8,8,3.1A,618.58
160,FAC. INFORMATICA,78922,2018-01-07 17:00,8,0,0,8,8,3.1A,618.58
161,FAC. INFORMATICA,78922,2018-01-07 18:00,8,0,0,8,8,3.1A,618.58
162,FAC. INFORMATICA,78922,2018-01-07 19:00,4,0,0,4,4,3.1A,618.58
163,FAC. INFORMATICA,78922,2018-01-07 20:00,4,0,0,4,4,3.1A,618.58
164,FAC. INFORMATICA,78922,2018-01-07 21:00,4,0,0,4,4,3.1A,618.58
165,FAC. INFORMATICA,78922,2018-01-07 22:00,4,0,0,4,4,3.1A,618.58
166,FAC. INFORMATICA,78922,2018-01-07 23:00,3,0,0,3,3,3.1A,618.58
167,FAC. INFORMATICA,78922,2018-01-08 00:00,4,0,0,4,4,3.1A,618.58
168,FAC. INFORMATICA,78922,2018-01-08 01:00,7,0,0,7,7,3.1A,618.58
169,FAC. INFORMATICA,78922,2018-01-08 02:00,8,0,0,8,8,3.1A,618.58
170,FAC. INFORMATICA,78922,2018-01-08 03:00,8,0,0,8,8,3.1A,618.58
171,FAC. INFORMATICA,78922,2018-01-08 04:00,9,0,0,9,9,3.1A,618.58
172,FAC. INFORMATICA,78922,2018-01-08 05:00,8,0,0,8,8,3.1A,618.58
173,FAC. INFORMATICA,78922,2018-01-08 06:00,8,0,0,8,8,3.1A,618.58
174,FAC. INFORMATICA,78922,2018-01-08 07:00,8,0,0,8,8,3.1A,618.58
175,FAC. INFORMATICA,78922,2018-01-08 08:00,8,0,0,8,8,3.1A,618.58
176,FAC. INFORMATICA,78922,2018-01-08 09:00,3,0,0,3,3,3.1A,618.58
177,FAC. INFORMATICA,78922,2018-01-08 10:00,3,0,0,3,3,3.1A,618.58
178,FAC. INFORMATICA,78922,2018-01-08 11:00,3,0,0,3,3,3.1A,618.58
179,FAC. INFORMATICA,78922,2018-01-08 12:00,3,0,0,3,3,3.1A,618.58
180,FAC. INFORMATICA,78922,2018-01-08 13:00,3,0,0,3,3,3.1A,618.58
181,FAC. INFORMATICA,78922,2018-01-08 14:00,4,0,0,4,4,3.1A,618.58
182,FAC. INFORMATICA,78922,2018-01-08 15:00,3,0,0,3,3,3.1A,618.58
183,FAC. INFORMATICA,78922,2018-01-08 16:00,3,0,0,3,3,3.1A,618.58
184,FAC. INFORMATICA,78922,2018-01-08 17:00,3,0,0,3,3,3.1A,618.58
185,FAC. INFORMATICA,78922,2018-01-08 18:00,8,0,0,8,8,3.1A,618.58
186,FAC. INFORMATICA,78922,2018-01-08 19:00,8,0,0,8,8,3.1A,618.58
187,FAC. INFORMATICA,78922,2018-01-08 20:00,8,0,0,8,8,3.1A,618.58
188,FAC. INFORMATICA,78922,2018-01-08 21:00,9,0,0,9,9,3.1A,618.58
189,FAC. INFORMATICA,78922,2018-01-08 22:00,9,0,0,9,9,3.1A,618.58
190,FAC. INFORMATICA,78922,2018-01-08 23:00,8,0,0,8,8,3.1A,618.58
191,FAC. INFORMATICA,78922,2018-01-09 00:00,3,0,0,3,3,3.1A,618.58
192,FAC. INFORMATICA,78922,2018-01-09 01:00,9,0,0,9,9,3.1A,618.58
193,FAC. INFORMATICA,78922,2018-01-09 02:00,9,0,0,9,9,3.1A,618.58
194,FAC. INFORMATICA,78922,2018-01-09 03:00,8,0,0,8,8,3.1A,618.58
195,FAC. INFORMATICA,78922,2018-01-09 04:00,8,0,0,8,8,3.1A,618.58
196,FAC. INFORMATICA,78922,2018-01-09 05:00,9,0,0,9,9,3.1A,618.58
197,FAC. INFORMATICA,78922,2018-01-09 06:00,9,0,0,9,9,3.1A,618.58
198,FAC. INFORMATICA,78922,2018-01-09 07:00,8,0,0,8,8,3.1A,618.58
199,FAC. INFORMATICA,78922,2018-01-09 08:00,8,0,0,8,8,3.1A,618.58
200,FAC. INFORMATICA,78922,2018-01-09 09:00,4,0,0,4,4,3.1A,618.58
201,FAC. INFORMATICA,78922,2018-01-09 10:00,4,0,0,4,4,3.1A,618.58
202,FAC. INFORMATICA,78922,2018-01-09 11:00,4,0,0,4,4,3.1A,618.58
203,FAC. INFORMATICA,78922,2018-01-09 12:00,4,0,0,4,4,3.1A,618.58
204,FAC. INFORMATICA,78922,2018-01-09 13:00,4,0,0,4,4,3.1A,618.58
205,FAC. INFORMATICA,78922,2018-01-09 14:00,4,0,0,4,4,3.1A,618.58
206,FAC. INFORMATICA,78922,2018-01-09 15:00,4,0,0,4,4,3.1A,618.58
207,FAC. INFORMATICA,78922,2018-01-09 16:00,4,0,0,4,4,3.1A,618.58
208,FAC. INFORMATICA,78922,2018-01-09 17:00,3,0,0,3,3,3.1A,618.58
209,FAC. INFORMATICA,78922,2018-01-09 18:00,8,0,0,8,8,3.1A,618.58
210,FAC. INFORMATICA,78922,2018-01-09 19:00,9,0,0,9,9,3.1A,618.58
211,FAC. INFORMATICA,78922,2018-01-09 20:00,9,0,0,9,9,3.1A,618.58
212,FAC. INFORMATICA,78922,2018-01-09 21:00,9,0,0,9,9,3.1A,618.58
213,FAC. INFORMATICA,78922,2018-01-09 22:00,9,0,0,9,9,3.1A,618.58
214,FAC. INFORMATICA,78922,2018-01-09 23:00,9,0,0,9,9,3.1A,618.58
215,FAC. INFORMATICA,78922,2018-01-10 00:00,4,0,0,4,4,3.1A,618.58
216,FAC. INFORMATICA,78922,2018-01-10 01:00,9,0,0,9,9,3.1A,618.58
217,FAC. INFORMATICA,78922,2018-01-10 02:00,9,0,0,9,9,3.1A,618.58
218,FAC. INFORMATICA,78922,2018-01-10 03:00,9,0,0,9,9,3.1A,618.58
219,FAC. INFORMATICA,78922,2018-01-10 04:00,9,0,0,9,9,3.1A,618.58
220,FAC. INFORMATICA,78922,2018-01-10 05:00,9,0,0,9,9,3.1A,618.58
221,FAC. INFORMATICA,78922,2018-01-10 06:00,8,0,0,8,8,3.1A,618.58
222,FAC. INFORMATICA,78922,2018-01-10 07:00,8,0,0,8,8,3.1A,618.58
223,FAC. INFORMATICA,78922,2018-01-10 08:00,8,0,0,8,8,3.1A,618.58
224,FAC. INFORMATICA,78922,2018-01-10 09:00,3,0,0,3,3,3.1A,618.58
225,FAC. INFORMATICA,78922,2018-01-10 10:00,4,0,0,4,4,3.1A,618.58
226,FAC. INFORMATICA,78922,2018-01-10 11:00,3,0,0,3,3,3.1A,618.58
227,FAC. INFORMATICA,78922,2018-01-10 12:00,4,0,0,4,4,3.1A,618.58
228,FAC. INFORMATICA,78922,2018-01-10 13:00,4,0,0,4,4,3.1A,618.58
229,FAC. INFORMATICA,78922,2018-01-10 14:00,4,0,0,4,4,3.1A,618.58
230,FAC. INFORMATICA,78922,2018-01-10 15:00,4,0,0,4,4,3.1A,618.58
231,FAC. INFORMATICA,78922,2018-01-10 16:00,4,0,0,4,4,3.1A,618.58
232,FAC. INFORMATICA,78922,2018-01-10 17:00,4,0,0,4,4,3.1A,618.58
233,FAC. INFORMATICA,78922,2018-01-10 18:00,9,0,0,9,9,3.1A,618.58
234,FAC. INFORMATICA,78922,2018-01-10 19:00,9,0,0,9,9,3.1A,618.58
235,FAC. INFORMATICA,78922,2018-01-10 20:00,9,0,0,9,9,3.1A,618.58
236,FAC. INFORMATICA,78922,2018-01-10 21:00,9,0,0,9,9,3.1A,618.58
237,FAC. INFORMATICA,78922,2018-01-10 22:00,8,0,0,8,8,3.1A,618.58
238,FAC. INFORMATICA,78922,2018-01-10 23:00,9,0,0,9,9,3.1A,618.58
239,FAC. INFORMATICA,78922,2018-01-11 00:00,4,0,0,4,4,3.1A,618.58
240,FAC. INFORMATICA,78922,2018-01-11 01:00,8,0,0,8,8,3.1A,618.58
241,FAC. INFORMATICA,78922,2018-01-11 02:00,8,0,0,8,8,3.1A,618.58
242,FAC. INFORMATICA,78922,2018-01-11 03:00,9,0,0,9,9,3.1A,618.58
243,FAC. INFORMATICA,78922,2018-01-11 04:00,8,0,0,8,8,3.1A,618.58
244,FAC. INFORMATICA,78922,2018-01-11 05:00,9,0,0,9,9,3.1A,618.58
245,FAC. INFORMATICA,78922,2018-01-11 06:00,9,0,0,9,9,3.1A,618.58
246,FAC. INFORMATICA,78922,2018-01-11 07:00,8,0,0,8,8,3.1A,618.58
247,FAC. INFORMATICA,78922,2018-01-11 08:00,8,0,0,8,8,3.1A,618.58
248,FAC. INFORMATICA,78922,2018-01-11 09:00,3,0,0,3,3,3.1A,618.58
249,FAC. INFORMATICA,78922,2018-01-11 10:00,3,0,0,3,3,3.1A,618.58
250,FAC. INFORMATICA,78922,2018-01-11 11:00,3,0,0,3,3,3.1A,618.58
251,FAC. INFORMATICA,78922,2018-01-11 12:00,3,0,0,3,3,3.1A,618.58
252,FAC. INFORMATICA,78922,2018-01-11 13:00,3,0,0,3,3,3.1A,618.58
253,FAC. INFORMATICA,78922,2018-01-11 14:00,4,0,0,4,4,3.1A,618.58
254,FAC. INFORMATICA,78922,2018-01-11 15:00,4,0,0,4,4,3.1A,618.58
255,FAC. INFORMATICA,78922,2018-01-11 16:00,4,0,0,4,4,3.1A,618.58
256,FAC. INFORMATICA,78922,2018-01-11 17:00,3,0,0,3,3,3.1A,618.58
257,FAC. INFORMATICA,78922,2018-01-11 18:00,8,0,0,8,8,3.1A,618.58
258,FAC. INFORMATICA,78922,2018-01-11 19:00,8,0,0,8,8,3.1A,618.58
259,FAC. INFORMATICA,78922,2018-01-11 20:00,9,0,0,9,9,3.1A,618.58
260,FAC. INFORMATICA,78922,2018-01-11 21:00,9,0,0,9,9,3.1A,618.58
261,FAC. INFORMATICA,78922,2018-01-11 22:00,9,0,0,9,9,3.1A,618.58
262,FAC. INFORMATICA,78922,2018-01-11 23:00,9,0,0,9,9,3.1A,618.58
263,FAC. INFORMATICA,78922,2018-01-12 00:00,4,0,0,4,4,3.1A,618.58
264,FAC. INFORMATICA,78922,2018-01-12 01:00,8,0,0,8,8,3.1A,618.58
265,FAC. INFORMATICA,78922,2018-01-12 02:00,8,0,0,8,8,3.1A,618.58
266,FAC. INFORMATICA,78922,2018-01-12 03:00,8,0,0,8,8,3.1A,618.58
267,FAC. INFORMATICA,78922,2018-01-12 04:00,8,0,0,8,8,3.1A,618.58
268,FAC. INFORMATICA,78922,2018-01-12 05:00,8,0,0,8,8,3.1A,618.58
269,FAC. INFORMATICA,78922,2018-01-12 06:00,8,0,0,8,8,3.1A,618.58
270,FAC. INFORMATICA,78922,2018-01-12 07:00,9,0,0,9,9,3.1A,618.58
271,FAC. INFORMATICA,78922,2018-01-12 08:00,8,0,0,8,8,3.1A,618.58
272,FAC. INFORMATICA,78922,2018-01-12 09:00,3,0,0,3,3,3.1A,618.58
273,FAC. INFORMATICA,78922,2018-01-12 10:00,4,0,0,4,4,3.1A,618.58
274,FAC. INFORMATICA,78922,2018-01-12 11:00,3,0,0,3,3,3.1A,618.58
275,FAC. INFORMATICA,78922,2018-01-12 12:00,3,0,0,3,3,3.1A,618.58
276,FAC. INFORMATICA,78922,2018-01-12 13:00,3,0,0,3,3,3.1A,618.58
277,FAC. INFORMATICA,78922,2018-01-12 14:00,4,0,0,4,4,3.1A,618.58
278,FAC. INFORMATICA,78922,2018-01-12 15:00,4,0,0,4,4,3.1A,618.58
279,FAC. INFORMATICA,78922,2018-01-12 16:00,4,0,0,4,4,3.1A,618.58
280,FAC. INFORMATICA,78922,2018-01-12 17:00,4,0,0,4,4,3.1A,618.58
281,FAC. INFORMATICA,78922,2018-01-12 18:00,8,0,0,8,8,3.1A,618.58
282,FAC. INFORMATICA,78922,2018-01-12 19:00,9,0,0,9,9,3.1A,618.58
283,FAC. INFORMATICA,78922,2018-01-12 20:00,9,0,0,9,9,3.1A,618.58
284,FAC. INFORMATICA,78922,2018-01-12 21:00,9,0,0,9,9,3.1A,618.58
285,FAC. INFORMATICA,78922,2018-01-12 22:00,9,0,0,9,9,3.1A,618.58
286,FAC. INFORMATICA,78922,2018-01-12 23:00,8,0,0,8,8,3.1A,618.58
287,FAC. INFORMATICA,78922,2018-01-13 00:00,4,0,0,4,4,3.1A,618.58
288,FAC. INFORMATICA,78922,2018-01-13 01:00,8,0,0,8,8,3.1A,618.58
289,FAC. INFORMATICA,78922,2018-01-13 02:00,8,0,0,8,8,3.1A,618.58
290,FAC. INFORMATICA,78922,2018-01-13 03:00,8,0,0,8,8,3.1A,618.58
291,FAC. INFORMATICA,78922,2018-01-13 04:00,8,0,0,8,8,3.1A,618.58
292,FAC. INFORMATICA,78922,2018-01-13 05:00,8,0,0,8,8,3.1A,618.58
293,FAC. INFORMATICA,78922,2018-01-13 06:00,8,0,0,8,8,3.1A,618.58
294,FAC. INFORMATICA,78922,2018-01-13 07:00,9,0,0,9,9,3.1A,618.58
295,FAC. INFORMATICA,78922,2018-01-13 08:00,8,0,0,8,8,3.1A,618.58
